Freq_Thz,S11-db,VSWR,W1
6.66,-6.93690465,2.635968105,20
6.68,-7.340116696,2.505885147,20
6.7,-7.754575474,2.38705388,20
6.72,-8.134300936,2.289468245,20
6.74,-8.420700545,2.222087504,20
6.76,-8.578311742,2.187068631,20
6.78,-8.621136677,2.177792144,20
6.8,-8.595035143,2.183434221,20
6.82,-8.538781417,2.195720688,20
6.84,-8.463488389,2.212441568,20
6.86,-8.356856367,2.236678196,20
6.88,-8.20011629,2.273536388,20
6.9,-7.985379016,2.326557523,20
6.92,-7.723216369,2.395571333,20
6.94,-7.43758027,2.476675939,20
6.96,-7.154890114,2.563720499,20
6.98,-6.895477993,2.650242847,20
7,-6.669958992,2.731224807,20
1,-0.770063083,22.57367834,30
1.02,-0.798177207,21.77962734,30
1.04,-0.829591256,20.95608275,30
1.06,-0.864632059,20.10811605,30
1.08,-0.903785748,19.23846439,30
1.1,-0.947693698,18.34876529,30
1.12,-0.997167486,17.44025451,30
1.14,-1.053220665,16.51416424,30
1.16,-1.117118621,15.57195301,30
1.18,-1.190450792,14.61544139,30
1.2,-1.275233019,13.64689593,30
1.22,-1.374052577,12.66908719,30
1.24,-1.490275578,11.68533803,30
1.26,-1.628347727,10.69957421,30
1.28,-1.794237458,9.716388253,30
1.3,-1.996099895,8.741128586,30
1.32,-2.24528739,7.780031015,30
1.34,-2.557906305,6.840416473,30
1.36,-2.957223078,5.930989865,30
1.38,-3.477318251,5.062286356,30
1.4,-4.168250868,4.247318413,30
1.42,-5.101634,3.502473217,30
1.44,-6.368884079,2.848727972,30
1.46,-8.037246595,2.313472782,30
1.48,-9.945945607,1.933419578,30
1.5,-11.28022194,1.750618497,30
1.52,-11.1826483,1.762330325,30
1.54,-10.38172728,1.867922786,30
1.56,-9.850772597,1.948581037,30
1.58,-9.834947417,1.951133522,30
1.6,-10.21212553,1.89267498,30
1.62,-10.68214504,1.826228092,30
1.64,-10.84137303,1.805177668,30
1.66,-10.44178129,1.859373121,30
1.68,-9.624732135,1.985919608,30
1.7,-8.714623825,2.1578837,30
1.72,-7.94465177,2.336959992,30
1.74,-7.422665383,2.481093163,30
1.76,-7.182107059,2.555024559,30
1.78,-7.194852922,2.550976085,30
1.8,-7.326175751,2.510130478,30
1.82,-7.309354305,2.515275811,30
1.84,-6.925968761,2.639718922,30
1.86,-6.249723578,2.89850646,30
1.88,-5.514750678,3.25517106,30
1.9,-4.873069253,3.657872358,30
1.92,-4.367239028,4.061197205,30
1.94,-3.990042624,4.43007673,30
1.96,-3.724068319,4.735971853,30
1.98,-3.55668983,4.952311321,30
2,-3.479438921,5.059281889,30
2.02,-3.460296189,5.086537617,30
2.04,-3.397978646,5.177421659,30
2.06,-3.23820045,5.426631688,30
2.08,-3.079857162,5.699423134,30
2.1,-2.983962528,5.878859543,30
2.12,-2.946029009,5.953097179,30
2.14,-2.951981994,5.941319476,30
2.16,-2.993092511,5.861275424,30
2.18,-3.065529777,5.725511734,30
2.2,-3.168658466,5.543043126,30
2.22,-3.304057847,5.320956972,30
2.24,-3.475117245,5.065408569,30
2.26,-3.68697628,4.782195092,30
2.28,-3.946686138,4.477082073,30
2.3,-4.263541396,4.15597835,30
2.32,-4.649571551,3.825004519,30
2.34,-5.120201669,3.490475166,30
2.36,-5.695094659,3.15880923,30
2.38,-6.399153381,2.836391314,30
2.4,-7.2635122,2.529426011,30
2.42,-8.325828635,2.243856138,30
2.44,-9.627406887,1.985466475,30
2.46,-11.19844204,1.76041887,30
2.48,-13.00167379,1.576751698,30
2.5,-14.75879422,1.447487327,30
2.52,-15.70545098,1.392218739,30
2.54,-15.1581294,1.423125782,30
2.56,-13.62322551,1.526438213,30
2.58,-11.92612599,1.678574281,30
2.6,-10.41805109,1.862738345,30
2.62,-9.173326924,2.066559353,30
2.64,-8.188579585,2.276309211,30
2.66,-7.447928827,2.473622111,30
2.68,-6.93714879,2.635884512,30
2.7,-6.645152013,2.74048524,30
2.72,-6.564449813,2.771119033,30
2.74,-6.692640971,2.722820628,30
