"Freq [thz]","VSWR(1) [] - W1='4um'","VSWR(1) [] - W1='20um'","VSWR(1) [] - W1='30um'","VSWR(1) [] - W1='40um'","VSWR(1) [] - W1='50um'","VSWR(1) [] - W1='60um'"
6.02,2.55021633334994,2.68278785385544,2.58373206391192,2.28109299420781,2.85300027296141,2.68957487964274
6.04,2.49257971650396,2.63434831325815,2.5355465333873,2.25067522843758,2.8518898110003,2.64578863344413
6.06,2.4449450601739,2.58427535472815,2.48267302350659,2.22901363610209,2.83267808332741,2.58897757008277
6.08,2.41845808533565,2.53544699634598,2.42877565897352,2.22394263862618,2.79914382863736,2.52653864053174
6.1,2.42315905686581,2.49005470916554,2.37938094604817,2.24042227652099,2.75618281697153,2.46916944229314
6.12,2.4640996969682,2.44991454255778,2.34154183332643,2.27600967174895,2.70977543981288,2.42908398728795
6.14,2.53771167569622,2.41715298846591,2.32161556333979,2.32211766035064,2.66642031988233,2.41515089684423
6.16,2.6316721387546,2.39448916162712,2.32202122493612,2.3704812092281,2.63134062895385,2.42794305216124
6.18,2.72959086057341,2.3839987715317,2.34052074601269,2.41746864992078,2.6062781934889,2.46011927769361
6.2,2.81767181092695,2.38483344788102,2.37347558623719,2.46365859541868,2.58903216943186,2.5018194683908
6.22,2.8890113254963,2.39353481327534,2.41922076425555,2.51150633417986,2.57561891024984,2.54534167976958
6.24,2.94396581137353,2.4080904451876,2.47847086215914,2.5630999702076,2.56328986335853,2.58632116139489
6.26,2.98799017967287,2.43035290153802,2.55287736986271,2.61825365889566,2.55218149110755,2.62288935971726
6.28,3.02898361041459,2.46441919355026,2.64351578189824,2.67280543290642,2.54500045603746,2.65460564121379
6.3,3.07521187814608,2.51426299045115,2.7498426095249,2.71773011910289,2.54556334360514,2.68172420171988
6.32,3.13378887746375,2.58269830741344,2.86918738900989,2.74037749691953,2.55724443439005,2.70465026646029
6.34,3.20946855655375,2.67116260442801,2.99685291656505,2.72869710369914,2.58197632033674,2.72334116968366
6.36,3.30349360447499,2.77941508782678,3.12669390418805,2.67687309600981,2.61984535606159,2.73660122908475
6.38,3.41256497605466,2.9047310082062,3.25176241591714,2.5885477344419,2.66913528185736,2.74148204841952
6.4,3.52823766568459,3.04074004588642,3.3646954901555,2.47518881739835,2.72622878686629,2.73321676506495
6.42,3.63730054379997,3.17674607288666,3.45795604858832,2.35142757619081,2.78476243803502,2.70619437905723
6.44,3.72370213090879,3.29871022797451,3.52432461734501,2.23102181860139,2.83456597909926,2.65620551313617
